번호,RMS ID,현장명,대수,전화번호,비고,,횟수,,시작시간,종료시간
7, 15-001286, 삼성동프레디스사옥, , 012-2042-1262, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033221, 0629 033306
8, 15-001256, 청담동62-4근생, , 012-2042-1182, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033307, 0629 033354
10, 16-000474, 삼성동118-5근린생활, , 012-2048-5813, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033355, 0629 033442
14, 16-003423, 삼성동67-18, , 012-2082-2944, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033443, 0629 033530
22, 17-002777, 청담동82-3 셀린느 샐린느, , 012-2438-0675, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033531, 0629 033616
29, 14-015411, 봉천동근생시설(경원빌딩), , 012-2004-1430, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033617, 0629 033704
31, 14-121011, BI신동교회, , 012-2059-1469, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033704, 0629 033752
32, 15-000584, 상도동214-67.프리우스, , 012-2054-8431, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033752, 0629 033839
34, 15-001610, 사당동다세대신축공사(라온빌딩), , 012-2080-1350, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033840, 0629 033927
35, 15-001624, 서초동빌라(서초아우름), , 012-2080-1366, RMSDAS 접속 시간 초과(45초), , 5, , 0629 033928, 0629 034013
36, 15-000580, 동작동현대타운하우스(스카이뷰), , 012-2070-8429, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034014, 0629 034059
37, 15-002265, 방배동유노피스빌딩(아이티센빌딩)(헤라피, , 012-2069-1270, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034100, 0629 034145
38, 15-002258, 팔레스호텔 (반포동 63-1), , 012-2069-1260, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034146, 0629 034233
39, 16-001565, 은천로72 더클래식성지, , 012-2425-1591, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034233, 0629 034319
42, 16-001226, 행복한동행(상도동214-146), , 012-2426-0795, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034319, 0629 034411
43, 16-002483, 방배동진흥하임빌(바를정), , 012-2119-9382, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034412, 0629 034459
44, 16-004463, 사당동435-20근생(미래가), , 012-2069-1267, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034500, 0629 034547
45, 16-004430, 사당동141-182신축(다온빌), , 012-2084-2945, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034548, 0629 034635
46, 17-000025, 흑석동186-23(트윈빌리지), , 012-2044-0822, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034636, 0629 034723
47, 17-000252, 서초동1432-15, , 012-2069-3280, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034723, 0629 034811
48, 17-000022, 방배동839-32신축공사, , 012-2087-7151, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034811, 0629 034858
50, 17-002435, 방배동900-21신축, , 012-2017-0446, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034859, 0629 034946
51, 17-002441, 방배동426-6, , 012-2438-1539, RMSDAS 접속 시간 초과(45초), , 5, , 0629 034947, 0629 035034
52, 17-002437, 사당동1051-16신축(세인트 힐), , 0120-2013-9454, RMSDAS 접속 시간 초과(45초), , 5, , 0629 035035, 0629 035122
